task,dataset,iter,mean_held_out_acc
label,A2,0,0.925
label,A2,1,0.9375
label,A2,2,0.9291666666666668
label,A2,3,0.9541666666666666
label,A2,4,0.9354166666666666
label,A2,5,0.9520833333333332
label,A2,6,0.9145833333333334
label,A2,7,0.9208333333333332
label,A2,8,0.91875
label,A2,9,0.9375
label_and_triplet,A2,0,0.94375
label_and_triplet,A2,1,0.9416666666666667
label_and_triplet,A2,2,0.9541666666666666
label_and_triplet,A2,3,0.9333333333333333
label_and_triplet,A2,4,0.96875
label_and_triplet,A2,5,0.9645833333333332
label_and_triplet,A2,6,0.9416666666666667
label_and_triplet,A2,7,0.9604166666666666
label_and_triplet,A2,8,0.9375
label_and_triplet,A2,9,0.9375
triplet,A2,0,0.6166666666666667
triplet,A2,1,0.5375
triplet,A2,2,0.6875
triplet,A2,3,0.7145833333333333
triplet,A2,4,0.7208333333333334
triplet,A2,5,0.6520833333333333
triplet,A2,6,0.6833333333333333
triplet,A2,7,0.6833333333333333
triplet,A2,8,0.6875000000000001
triplet,A2,9,0.7791666666666666
label,A,0,0.9583333333333334
label,A,1,0.925
label,A,2,0.9375
label,A,3,0.94375
label,A,4,0.95
label,A,5,0.9291666666666666
label,A,6,0.9354166666666666
label,A,7,0.95
label,A,8,0.9479166666666666
label,A,9,0.95
label_and_triplet,A,0,0.9083333333333334
label_and_triplet,A,1,0.9520833333333332
label_and_triplet,A,2,0.95625
label_and_triplet,A,3,0.9333333333333333
label_and_triplet,A,4,0.9270833333333334
label_and_triplet,A,5,0.9458333333333334
label_and_triplet,A,6,0.90625
label_and_triplet,A,7,0.9708333333333332
label_and_triplet,A,8,0.9458333333333334
label_and_triplet,A,9,0.9666666666666668
triplet,A,0,0.7125
triplet,A,1,0.7770833333333333
triplet,A,2,0.6895833333333333
triplet,A,3,0.6979166666666667
triplet,A,4,0.6416666666666666
triplet,A,5,0.6312499999999999
triplet,A,6,0.7520833333333334
triplet,A,7,0.6291666666666667
triplet,A,8,0.6833333333333333
triplet,A,9,0.6604166666666667
label,B,0,0.9291666666666668
label,B,1,0.9541666666666666
label,B,2,0.9416666666666668
label,B,3,0.9416666666666667
label,B,4,0.9541666666666666
label,B,5,0.94375
label,B,6,0.91875
label,B,7,0.9291666666666666
label,B,8,0.93125
label,B,9,0.9166666666666666
label_and_triplet,B,0,0.9458333333333332
label_and_triplet,B,1,0.9666666666666666
label_and_triplet,B,2,0.9333333333333333
label_and_triplet,B,3,0.925
label_and_triplet,B,4,0.9145833333333332
label_and_triplet,B,5,0.9145833333333332
label_and_triplet,B,6,0.90625
label_and_triplet,B,7,0.9541666666666666
label_and_triplet,B,8,0.925
label_and_triplet,B,9,0.9145833333333332
triplet,B,0,0.7145833333333333
triplet,B,1,0.7666666666666667
triplet,B,2,0.6875
triplet,B,3,0.6395833333333334
triplet,B,4,0.7354166666666667
triplet,B,5,0.7458333333333333
triplet,B,6,0.6958333333333333
triplet,B,7,0.6854166666666667
triplet,B,8,0.64375
triplet,B,9,0.5916666666666667
label,C,0,0.9270833333333333
label,C,1,0.9125
label,C,2,0.9229166666666666
label,C,3,0.925
label,C,4,0.9270833333333333
label,C,5,0.9125
label,C,6,0.9395833333333334
label,C,7,0.9354166666666668
label,C,8,0.91875
label,C,9,0.9458333333333332
label_and_triplet,C,0,0.91875
label_and_triplet,C,1,0.9479166666666667
label_and_triplet,C,2,0.95
label_and_triplet,C,3,0.9375
label_and_triplet,C,4,0.9479166666666666
label_and_triplet,C,5,0.98125
label_and_triplet,C,6,0.9479166666666667
label_and_triplet,C,7,0.925
label_and_triplet,C,8,0.9479166666666666
label_and_triplet,C,9,0.9125
triplet,C,0,0.7666666666666667
triplet,C,1,0.7083333333333333
triplet,C,2,0.6958333333333333
triplet,C,3,0.7375
triplet,C,4,0.7374999999999999
triplet,C,5,0.6770833333333334
triplet,C,6,0.7354166666666667
triplet,C,7,0.79375
triplet,C,8,0.74375
triplet,C,9,0.7395833333333334
